Line,Point,X,Y
1,1,125,317
1,2,126,317
1,3,127,317
1,4,128,317
1,5,129,317
1,6,130,317
1,7,131,317
1,8,132,317
1,9,132,317
1,10,133,317
1,11,134,317
1,12,135,317
1,13,136,317
1,14,137,317
1,15,138,317
1,16,139,317
1,17,140,317
1,18,141,317
1,19,142,317
1,20,142,317
1,21,143,317
1,22,144,317
1,23,145,317
1,24,146,317
1,25,147,317
1,26,148,317
1,27,149,317
1,28,150,317
1,29,151,317
1,30,152,317
1,31,152,317
1,32,153,317
1,33,154,317
1,34,155,317
1,35,156,317
1,36,157,317
1,37,158,317
1,38,159,317
1,39,160,317
1,40,161,317
1,41,162,317
1,42,163,317
1,43,163,317
1,44,164,317
1,45,165,317
1,46,166,317
1,47,167,317
1,48,168,317
1,49,169,317
1,50,170,317
1,51,166,317
1,52,166,316
1,53,166,316
1,54,166,315
1,55,166,314
1,56,166,314
1,57,166,313
1,58,166,313
1,59,166,312
1,60,166,311
1,61,166,311
1,62,166,310
1,63,166,309
1,64,166,309
1,65,166,308
1,66,166,308
1,67,166,307
1,68,166,306
1,69,166,306
1,70,166,305
1,71,166,305
1,72,166,304
1,73,166,303
1,74,166,303
1,75,166,302
1,76,166,302
1,77,166,301
1,78,166,300
1,79,166,300
1,80,166,299
1,81,166,299
1,82,166,298
1,83,166,297
1,84,166,297
1,85,166,296
1,86,166,296
1,87,166,295
1,88,166,294
1,89,166,294
1,90,166,293
1,91,166,293
1,92,166,292
1,93,166,291
1,94,166,291
1,95,166,290
1,96,166,293
1,97,167,293
1,98,168,293
1,99,169,293
1,100,170,293
1,101,171,293
1,102,172,293
1,103,173,293
1,104,173,293
1,105,174,293
1,106,175,293
1,107,176,293
1,108,177,293
1,109,178,293
1,110,179,293
1,111,180,293
1,112,181,293
1,113,182,293
1,114,183,293
1,115,184,293
1,116,184,293
1,117,185,293
1,118,186,293
1,119,187,293
1,120,188,293
1,121,189,293
1,122,190,293
1,123,191,293
1,124,192,293
1,125,193,293
1,126,194,293
1,127,194,293
1,128,195,293
1,129,196,293
1,130,197,293
1,131,198,293
1,132,199,293
1,133,200,293
1,134,201,293
1,135,202,293
1,136,203,293
1,137,204,293
1,138,204,293
1,139,205,293
1,140,206,293
1,141,207,293
1,142,208,293
1,143,209,293
1,144,210,293
1,145,211,293
1,146,212,293
1,147,213,293
1,148,214,293
1,149,214,293
1,150,215,293
1,151,212,293
1,152,212,292
1,153,212,291
1,154,212,291
1,155,212,290
1,156,212,290
1,157,212,289
1,158,212,288
1,159,212,288
1,160,212,287
1,161,212,287
1,162,212,286
1,163,212,285
1,164,212,285
1,165,212,284
1,166,212,284
1,167,212,283
1,168,212,282
1,169,212,282
1,170,212,281
1,171,212,281
1,172,212,280
1,173,212,279
1,174,212,279
1,175,212,278
1,176,212,277
1,177,212,277
1,178,212,276
1,179,212,276
1,180,212,275
1,181,212,274
1,182,212,274
1,183,212,273
1,184,212,273
1,185,212,272
1,186,212,271
1,187,212,271
1,188,212,270
1,189,212,270
1,190,212,269
1,191,212,268
1,192,212,268
1,193,212,267
1,194,212,267
1,195,212,266
1,196,212,265
1,197,212,265
1,198,212,264
1,199,212,264
1,200,212,263
1,201,212,262
1,202,212,262
1,203,212,261
1,204,212,261
1,205,212,260
1,206,212,259
1,207,212,259
1,208,212,258
1,209,212,258
1,210,212,257
1,211,212,256
1,212,212,256
1,213,212,255
1,214,212,255
1,215,212,254
1,216,212,256
1,217,213,256
1,218,214,256
1,219,214,256
1,220,215,256
1,221,216,256
1,222,217,256
1,223,218,256
1,224,219,256
1,225,220,256
1,226,221,256
1,227,222,256
1,228,223,256
1,229,224,256
1,230,225,256
1,231,225,256
1,232,226,256
1,233,227,256
1,234,228,256
1,235,229,256
1,236,230,256
1,237,231,256
1,238,232,256
1,239,233,256
1,240,234,256
1,241,235,256
1,242,235,256
1,243,236,256
1,244,237,256
1,245,238,256
1,246,239,256
1,247,240,256
1,248,241,256
1,249,242,256
1,250,243,256
1,251,244,256
1,252,245,256
1,253,246,256
1,254,246,256
1,255,247,256
1,256,248,256
1,257,249,256
1,258,250,256
1,259,251,256
1,260,252,256
1,261,253,256
1,262,254,256
1,263,255,256
1,264,256,256
1,265,256,256
1,266,253,256
1,267,253,256
1,268,253,255
1,269,253,255
1,270,253,254
1,271,253,253
1,272,253,253
1,273,253,252
1,274,253,252
1,275,253,251
1,276,253,250
1,277,253,250
1,278,253,249
1,279,253,249
1,280,253,248
1,281,253,250
1,282,254,250
1,283,255,250
1,284,256,250
1,285,256,250
1,286,257,250
1,287,258,250
1,288,259,250
1,289,260,250
1,290,261,250
1,291,262,250
1,292,263,250
1,293,264,250
1,294,265,250
1,295,266,250
1,296,266,250
1,297,267,250
1,298,268,250
1,299,269,250
1,300,270,250
1,301,271,250
1,302,272,250
1,303,273,250
1,304,274,250
1,305,275,250
1,306,276,250
1,307,276,250
1,308,277,250
1,309,278,250
1,310,279,250
1,311,280,250
1,312,281,250
1,313,282,250
1,314,283,250
1,315,284,250
1,316,285,250
1,317,286,250
1,318,287,250
1,319,287,250
1,320,288,250
1,321,289,250
1,322,290,250
1,323,291,250
1,324,292,250
1,325,293,250
1,326,294,250
1,327,295,250
1,328,296,250
1,329,297,250
1,330,297,250
1,331,298,250
1,332,299,250
1,333,300,250
1,334,301,250
1,335,302,250
1,336,303,250
1,337,304,250
1,338,305,250
